time(0.001 ms),Torque Measuring system 1 (NÂ·m),Angle Measuring system 1 (°),Torque Motor (NÂ·m),Angle Motor (°),Speed (rpm),Step,Current (A),Temperature (°C)
0,0.00,0,0.03,0,0,1,-0.008,38.8
250,0.00,0,0.03,0,0,1,-0.007,38.8
500,0.00,0,0.03,0,0,1,-0.007,38.8
750,0.00,0,0.03,0,0,1,-0.006,38.8
1000,0.00,0,0.03,0,0,1,-0.008,38.8
1250,0.00,0,0.03,0,0,1,-0.008,38.8
1500,0.00,0,0.03,0,0,1,-0.008,38.8
1750,0.00,0,0.03,0,0,1,-0.006,38.8
2000,0.00,0,0.03,0,0,1,-0.007,38.8
2250,0.00,0,0.03,0,1,1,-0.011,38.8
2500,0.00,0,0.03,0,1,1,-0.028,38.8
2750,0.00,0,0.03,0,1,1,-0.039,38.8
3000,0.00,0,0.03,0,1,1,-0.037,38.8
3250,0.00,0,0.02,0,1,1,-0.036,38.8
3500,0.00,0,0.02,0,1,1,-0.042,38.8
3750,0.00,0,0.02,0,1,1,-0.049,38.8
4000,0.00,0,0.02,0,1,1,-0.050,38.8
4250,0.00,0,0.02,0,2,1,-0.051,38.8
4500,0.00,0,0.02,0,2,1,-0.055,38.8
4750,0.00,0,0.02,0,2,1,-0.058,38.8
5000,0.00,0,0.02,0,2,1,-0.061,38.8
5250,0.00,0,0.01,0,4,1,-0.057,38.8
5500,0.00,0,0.01,0,4,1,-0.063,38.8
5750,0.00,0,0.01,0,4,1,-0.067,38.8
6000,0.00,0,0.01,0,4,1,-0.066,38.8
6250,0.00,0,-0.03,0,5,1,-0.073,38.8
6500,0.00,0,-0.03,0,5,1,-0.077,38.8
6750,0.00,0,-0.03,0,5,1,-0.073,38.8
7000,0.00,0,-0.04,0,7,1,-0.079,38.8
7250,0.00,0,-0.04,0,7,1,-0.087,38.8
7500,0.00,0,-0.04,0,7,1,-0.084,38.8
7750,0.00,0,-0.04,0,7,1,-0.087,38.8
8000,0.00,0,-0.06,0,10,1,-0.085,38.8
8250,0.00,0,-0.06,0,10,1,-0.090,38.8
8500,0.00,0,-0.06,0,10,1,-0.096,38.8
8750,0.00,0,-0.06,0,10,1,-0.101,38.8
9000,0.00,0,-0.08,0,12,1,-0.098,38.8
9250,0.00,0,-0.08,0,12,1,-0.103,38.8
9500,0.00,0,-0.08,1,12,1,-0.109,38.8
9750,0.00,0,-0.08,1,12,1,-0.107,38.8
10000,0.00,0,-0.09,1,12,1,-0.107,38.8
10250,0.00,0,-0.09,1,12,1,-0.113,38.8
10500,0.00,0,-0.09,1,12,1,-0.112,38.8
10750,0.00,0,-0.09,1,12,1,-0.117,38.8
11000,0.00,0,-0.11,1,15,1,-0.122,38.8
11250,0.00,0,-0.11,1,15,1,-0.121,38.8
11500,0.00,0,-0.11,1,15,1,-0.127,38.8
11750,0.00,0,-0.11,1,19,1,-0.128,38.8
12000,0.00,0,-0.11,1,19,1,-0.123,38.8
12250,0.00,0,-0.11,1,19,1,-0.127,38.8
12500,0.00,0,-0.11,1,19,1,-0.132,38.8
12750,0.00,0,-0.12,1,22,1,-0.137,38.8
13000,0.00,0,-0.12,1,22,1,-0.140,38.8
13250,0.00,0,-0.12,1,22,1,-0.140,38.8
13500,0.00,0,-0.12,1,22,1,-0.142,38.8
13750,0.00,0,-0.13,1,27,1,-0.144,38.8
14000,0.00,0,-0.13,1,27,1,-0.148,38.8
14250,0.00,0,-0.13,1,27,1,-0.152,38.8
14500,0.00,0,-0.13,1,27,1,-0.147,38.8
14750,0.00,0,-0.14,1,32,1,-0.149,38.8
15000,0.00,0,-0.14,1,32,1,-0.154,38.8
15250,0.00,0,-0.14,1,32,1,-0.158,38.8
15500,0.00,0,-0.14,1,37,1,-0.157,38.8
15750,0.00,0,-0.15,1,37,1,-0.166,38.8
16000,0.00,0,-0.15,1,37,1,-0.170,38.8
16250,0.00,1,-0.15,2,37,1,-0.169,38.8
16500,0.00,1,-0.15,2,42,1,-0.169,38.8
16750,0.00,1,-0.15,2,42,1,-0.176,38.8
17000,0.00,1,-0.15,2,42,1,-0.177,38.8
17250,0.00,1,-0.15,3,42,1,-0.172,38.8
17500,0.00,1,-0.15,3,48,1,-0.179,38.8
17750,0.00,1,-0.15,3,48,1,-0.181,38.8
18000,0.00,1,-0.15,3,48,1,-0.184,38.8
18250,0.00,1,-0.15,3,48,1,-0.185,38.8
18500,0.00,1,-0.15,3,54,1,-0.184,38.8
18750,0.00,1,-0.15,3,54,1,-0.185,38.8
19000,0.00,1,-0.15,3,54,1,-0.187,38.8
19250,0.00,1,-0.15,3,54,1,-0.184,38.8
19500,0.00,1,-0.13,3,60,1,-0.180,38.8
19750,0.00,1,-0.13,3,60,1,-0.181,38.8
20000,0.00,1,-0.13,4,60,1,-0.171,38.8
20250,0.00,1,-0.13,4,67,1,-0.162,38.8
20500,0.00,1,-0.10,4,67,1,-0.156,38.8
20750,0.00,1,-0.10,4,67,1,-0.147,38.8
21000,0.01,1,-0.10,4,67,1,-0.135,38.8
21250,0.01,1,-0.10,4,78,1,-0.128,38.8
21500,0.01,1,-0.07,4,78,1,-0.123,38.8
21750,0.01,1,-0.07,4,78,1,-0.119,38.8
22000,0.01,2,-0.07,4,78,1,-0.103,38.8
22250,0.01,2,-0.07,4,83,1,-0.099,38.8
22500,0.01,2,-0.07,4,83,1,-0.109,38.8
22750,0.01,2,-0.07,4,83,1,-0.118,38.8
23000,0.02,3,-0.07,6,83,1,-0.116,38.8
23250,0.02,3,-0.06,6,87,1,-0.109,38.8
23500,0.02,3,-0.06,6,87,1,-0.104,38.8
23750,0.02,3,-0.06,6,87,1,-0.100,38.8
24000,0.02,3,-0.06,6,87,1,-0.101,38.8
24250,0.02,3,-0.06,6,90,1,-0.094,38.8
24500,0.01,3,-0.06,6,90,1,-0.088,38.8
24750,0.01,3,-0.06,6,90,1,-0.076,38.8
25000,0.01,3,-0.06,6,94,1,-0.072,38.8
25250,0.01,3,-0.05,6,94,1,-0.068,38.8
25500,0.01,3,-0.05,6,94,1,-0.047,38.8
25750,0.01,4,-0.05,7,94,1,-0.033,38.8
26000,0.01,4,-0.05,7,94,1,-0.034,38.8
26250,0.01,4,-0.00,7,96,1,-0.030,38.8
26500,0.01,4,-0.00,7,96,1,-0.018,38.8
26750,0.01,4,-0.00,7,96,1,-0.009,38.8
27000,0.01,4,0.04,7,97,1,-0.006,38.8
27250,0.01,4,0.04,7,97,1,-0.001,38.8
27500,0.01,4,0.04,7,97,1,-0.002,38.8
27750,0.01,5,0.04,8,97,1,-0.013,38.8
28000,0.01,5,0.07,8,98,1,-0.017,38.8
28250,0.01,5,0.07,8,98,1,-0.017,38.8
28500,0.01,5,0.07,8,98,1,-0.022,38.8
28750,0.02,6,0.07,8,98,1,-0.019,38.8
29000,0.02,6,0.07,8,98,1,-0.020,38.8
29250,0.02,6,0.07,8,98,1,-0.028,38.8
29500,0.02,7,0.07,10,98,1,-0.038,38.8
29750,0.02,7,0.07,10,98,1,-0.040,38.8
30000,0.02,7,0.07,10,99,1,-0.038,38.8
30250,0.02,7,0.07,10,99,1,-0.043,38.8
30500,0.02,7,0.07,10,99,1,-0.046,38.8
30750,0.02,7,0.07,10,99,1,-0.050,38.8
31000,0.02,7,-0.05,10,99,1,-0.058,38.8
31250,0.02,7,-0.05,10,99,1,-0.062,38.8
31500,0.02,8,-0.05,11,99,1,-0.060,38.8
31750,0.02,8,-0.05,11,100,1,-0.054,38.8
32000,0.02,8,-0.05,11,100,1,-0.048,38.8
32250,0.02,8,-0.05,11,100,1,-0.044,38.8
32500,0.02,8,-0.05,11,100,1,-0.039,38.8
32750,0.02,8,-0.04,11,100,1,-0.040,38.8
33000,0.02,8,-0.04,11,100,1,-0.036,38.8
33250,0.02,8,-0.04,12,100,1,-0.024,38.8
