time(0.001 ms),Torque Measuring system 1 (NÂ·m),Angle Measuring system 1 (°),Torque Motor (NÂ·m),Angle Motor (°),Speed (rpm),Step,Current (A),Temperature (°C)
0,0.00,0,0.07,0,0,1,-0.004,39.0
250,0.00,0,0.07,0,0,1,-0.004,39.0
500,0.00,0,0.07,0,0,1,-0.006,39.0
750,0.00,0,0.07,0,0,1,-0.006,39.0
1000,0.00,0,0.07,0,0,1,-0.008,39.0
1250,0.00,0,0.07,0,0,1,-0.007,39.0
1500,0.00,0,0.07,0,0,1,-0.008,39.0
1750,0.00,0,0.07,0,0,1,-0.008,39.0
2000,0.00,0,0.07,0,0,1,-0.008,39.0
2250,0.00,0,0.07,0,0,1,-0.019,39.0
2500,0.00,0,0.07,0,0,1,-0.033,39.0
2750,0.00,0,0.07,0,0,1,-0.037,39.0
3000,0.00,0,0.07,0,0,1,-0.037,39.0
3250,0.00,0,0.07,0,1,1,-0.040,39.0
3500,0.00,0,0.07,0,1,1,-0.043,39.0
3750,0.00,0,0.07,0,1,1,-0.046,39.0
4000,0.00,0,0.07,0,1,1,-0.048,39.0
4250,0.00,0,0.07,0,2,1,-0.051,39.0
4500,0.00,0,0.07,0,2,1,-0.055,39.0
4750,0.00,0,0.07,0,2,1,-0.058,39.0
5000,0.00,0,0.07,0,2,1,-0.059,39.0
5250,0.00,0,0.07,0,3,1,-0.062,39.0
5500,0.00,0,0.07,0,3,1,-0.065,39.0
5750,0.00,0,0.07,0,3,1,-0.066,39.0
6000,0.00,0,0.07,0,3,1,-0.070,39.0
6250,0.00,0,0.07,0,4,1,-0.073,39.0
6500,0.00,0,0.07,0,4,1,-0.076,39.0
6750,0.00,0,0.07,0,4,1,-0.075,39.0
7000,0.00,0,0.07,0,6,1,-0.078,39.0
7250,0.00,0,0.07,0,6,1,-0.079,39.0
7500,0.00,0,0.07,0,6,1,-0.084,39.0
7750,0.00,0,0.07,0,6,1,-0.087,39.0
8000,0.01,0,0.07,0,8,1,-0.088,39.0
8250,0.01,0,0.07,0,8,1,-0.096,39.0
8500,0.01,0,0.07,0,8,1,-0.096,39.0
8750,0.01,0,0.07,0,8,1,-0.098,39.0
9000,0.01,0,0.06,0,11,1,-0.098,39.0
9250,0.02,0,0.06,0,11,1,-0.101,39.0
9500,0.02,0,0.06,0,11,1,-0.107,39.0
